Experiment name: EXP_0_1
Epoch [1/400], Average Loss: 1.3719e-03, Test Loss: 1.1968e-03, Current_LR:0.0005
Epoch [2/400], Average Loss: 1.0894e-03, Test Loss: 1.0932e-03, Current_LR:0.0005
Epoch [3/400], Average Loss: 8.7489e-04, Test Loss: 7.7603e-04, Current_LR:0.0005
Epoch [4/400], Average Loss: 8.8256e-04, Test Loss: 7.9505e-04, Current_LR:0.0005
Epoch [5/400], Average Loss: 8.1034e-04, Test Loss: 6.7670e-04, Current_LR:0.0005
Epoch [6/400], Average Loss: 9.0352e-04, Test Loss: 6.6383e-04, Current_LR:0.0005
Epoch [7/400], Average Loss: 7.4224e-04, Test Loss: 6.3120e-04, Current_LR:0.0005
Epoch [8/400], Average Loss: 7.5068e-04, Test Loss: 6.3577e-04, Current_LR:0.0005
Epoch [9/400], Average Loss: 7.0482e-04, Test Loss: 6.1399e-04, Current_LR:0.0005
Epoch [10/400], Average Loss: 6.8214e-04, Test Loss: 6.1563e-04, Current_LR:0.0005
Epoch [11/400], Average Loss: 7.1186e-04, Test Loss: 6.7197e-04, Current_LR:0.0005
Epoch [12/400], Average Loss: 6.7444e-04, Test Loss: 5.8790e-04, Current_LR:0.0005
Epoch [13/400], Average Loss: 6.5606e-04, Test Loss: 7.0531e-04, Current_LR:0.0005
Epoch [14/400], Average Loss: 6.4355e-04, Test Loss: 5.9692e-04, Current_LR:0.0005
Epoch [15/400], Average Loss: 6.3344e-04, Test Loss: 5.7757e-04, Current_LR:0.0005
Epoch [16/400], Average Loss: 6.5267e-04, Test Loss: 6.2789e-04, Current_LR:0.0005
Epoch [17/400], Average Loss: 6.1528e-04, Test Loss: 6.4618e-04, Current_LR:0.0005
Epoch [18/400], Average Loss: 6.2841e-04, Test Loss: 5.8185e-04, Current_LR:0.0005
Epoch [19/400], Average Loss: 6.2380e-04, Test Loss: 5.5309e-04, Current_LR:0.0005
